"target_gene"	"experiment_id"	"cell_line"	"gene_silencing_series"
"IGF2BP2"	"ENCSR952RRH"	"K562"	"ENCSR182YTG"
"IGF2BP3"	"ENCSR710NWE"	"HepG2"	"ENCSR362BLN"
"IGF2BP3"	"ENCSR481YXD"	"K562"	"ENCSR676OXO"
"IGF2BP3"	"ENCSR302JQA"	"K562"	"ENCSR397RZP"
"ILF3"	"ENCSR942MBU"	"HepG2"	"ENCSR405LHE"
"ILF3"	"ENCSR269HQA"	"K562"	"ENCSR801WSO"
"KHDRBS1"	"ENCSR784FTX"	"HepG2"	"ENCSR787JDA"
"KHDRBS1"	"ENCSR023HWI"	"K562"	"ENCSR278BRT"
"KHSRP"	"ENCSR850CKU"	"HepG2"	"ENCSR355PLU"
"KHSRP"	"ENCSR561CBC"	"K562"	"ENCSR535RFH"
"KIF1C"	"ENCSR182GKG"	"HepG2"	"ENCSR514ALV"
"KIF1C"	"ENCSR823WTA"	"K562"	"ENCSR183RYM"
"KRR1"	"ENCSR542ESY"	"HepG2"	"ENCSR597NVC"
"KRR1"	"ENCSR244SIO"	"K562"	"ENCSR703HFF"
"LARP4"	"ENCSR744PAQ"	"HepG2"	"ENCSR382SKH"
"LARP4"	"ENCSR866XLI"	"K562"	"ENCSR274YYU"
"LARP7"	"ENCSR624FBY"	"HepG2"	"ENCSR365KBY"
"LARP7"	"ENCSR770OWW"	"K562"	"ENCSR710HIK"
"LIN28B"	"ENCSR927SLP"	"HepG2"	"ENCSR820HTF"
"LIN28B"	"ENCSR598YQX"	"K562"	"ENCSR812TGJ"
"LSM11"	"ENCSR883BXR"	"HepG2"	"ENCSR795XHB"
"LSM11"	"ENCSR762FEO"	"K562"	"ENCSR435QTU"
"MAGOH"	"ENCSR746EKS"	"HepG2"	"ENCSR453OOG"
"MAGOH"	"ENCSR849STR"	"K562"	"ENCSR726JGY"
"MAK16"	"ENCSR517JHY"	"K562"	"ENCSR849CWX"
"MATR3"	"ENCSR492UFS"	"HepG2"	"ENCSR875WKW"
"MATR3"	"ENCSR792XFP"	"K562"	"ENCSR634RWY"
"MBNL1"	"ENCSR222COT"	"K562"	"ENCSR445PCG"
"METAP2"	"ENCSR992JGE"	"HepG2"	"ENCSR593JUF"
"METAP2"	"ENCSR952QDQ"	"K562"	"ENCSR772WSC"
"MSI2"	"ENCSR896MMU"	"HepG2"	"ENCSR198YXM"
"MSI2"	"ENCSR169QQW"	"K562"	"ENCSR849GEE"
"NAA15"	"ENCSR355OQC"	"HepG2"	"ENCSR396BIJ"
"NAA15"	"ENCSR945GUR"	"K562"	"ENCSR458HEM"
"NCBP2"	"ENCSR030ARO"	"HepG2"	"ENCSR087ZNB"
"NCBP2"	"ENCSR361LBE"	"K562"	"ENCSR249VBV"
"NELFE"	"ENCSR939ZRA"	"HepG2"	"ENCSR015WFP"
"NELFE"	"ENCSR201WFU"	"K562"	"ENCSR017RVL"
"NIP7"	"ENCSR696LLZ"	"HepG2"	"ENCSR026YCJ"
"NOL12"	"ENCSR643UFV"	"HepG2"	"ENCSR994ZMV"
"NOL12"	"ENCSR227AVS"	"K562"	"ENCSR485ZZS"
"NONO"	"ENCSR647NYX"	"HepG2"	"ENCSR905WEG"
"NONO"	"ENCSR398HXV"	"K562"	"ENCSR868GYG"
"NSUN2"	"ENCSR629RUG"	"HepG2"	"ENCSR825EXD"
"NSUN2"	"ENCSR829EFL"	"K562"	"ENCSR951PTY"
"NUFIP2"	"ENCSR584JRB"	"HepG2"	"ENCSR804FLV"
"NUFIP2"	"ENCSR754RJA"	"K562"	"ENCSR789PSL"
"NUSAP1"	"ENCSR180XTP"	"HepG2"	"ENCSR222VTT"
"NUSAP1"	"ENCSR927XBT"	"K562"	"ENCSR483BZO"
"PABPC1"	"ENCSR910YNJ"	"HepG2"	"ENCSR494NLK"
"PABPC1"	"ENCSR192GBD"	"K562"	"ENCSR448XEY"
"PABPC4"	"ENCSR455VZH"	"HepG2"	"ENCSR475UTA"
"PABPC4"	"ENCSR047EEG"	"K562"	"ENCSR169IXL"
"PABPN1"	"ENCSR416ZJH"	"K562"	"ENCSR017FFL"
"PCBP1"	"ENCSR635FRH"	"HepG2"	"ENCSR496JBC"
"PCBP1"	"ENCSR545AIK"	"K562"	"ENCSR542DWE"
"PCBP2"	"ENCSR028ITN"	"HepG2"	"ENCSR195CHH"
"PCBP2"	"ENCSR648QFY"	"K562"	"ENCSR947MUV"
"PES1"	"ENCSR496ETJ"	"HepG2"	"ENCSR291UYQ"
"PKM"	"ENCSR656DQV"	"HepG2"	"ENCSR216UHU"
"PKM"	"ENCSR978CSQ"	"K562"	"ENCSR463EDG"
"PNPT1"	"ENCSR880DEH"	"HepG2"	"ENCSR317QGL"
"PNPT1"	"ENCSR191VWK"	"K562"	"ENCSR791AGL"
"PPIG"	"ENCSR620HAA"	"HepG2"	"ENCSR692CHB"
"PPIG"	"ENCSR529MBZ"	"K562"	"ENCSR919QPP"
"PPIL4"	"ENCSR851KEX"	"HepG2"	"ENCSR067NIT"
"PPIL4"	"ENCSR556FNN"	"K562"	"ENCSR431ZHM"
"PPP1R8"	"ENCSR844QNT"	"K562"	"ENCSR383HIT"
"PRPF4"	"ENCSR466NRW"	"HepG2"	"ENCSR360MWJ"
"PRPF4"	"ENCSR363QIA"	"K562"	"ENCSR810PUY"
"PRPF6"	"ENCSR529QEZ"	"HepG2"	"ENCSR196YEP"
"PRPF6"	"ENCSR783LUA"	"K562"	"ENCSR985AIG"
"PRPF8"	"ENCSR998MZP"	"HepG2"	"ENCSR395JNK"
"PSIP1"	"ENCSR744YVR"	"HepG2"	"ENCSR513SYG"
"PSIP1"	"ENCSR611LQB"	"K562"	"ENCSR157QFT"
"PTBP1"	"ENCSR064DXG"	"HepG2"	"ENCSR526EYK"
"PTBP1"	"ENCSR527IVX"	"K562"	"ENCSR445NMP"
"PUF60"	"ENCSR648BSC"	"HepG2"	"ENCSR979YNN"
"PUF60"	"ENCSR558XNA"	"K562"	"ENCSR294TLQ"
"PUM1"	"ENCSR945XKW"	"HepG2"	"ENCSR674VQM"
"PUM1"	"ENCSR745WVZ"	"K562"	"ENCSR449VKZ"
"PUM2"	"ENCSR210DML"	"HepG2"	"ENCSR721OFF"
"PUM2"	"ENCSR118XYK"	"K562"	"ENCSR064PGJ"
"PUS1"	"ENCSR296ERI"	"HepG2"	"ENCSR726PDN"
"PUS1"	"ENCSR618IQH"	"K562"	"ENCSR272DTK"
"QKI"	"ENCSR330YOU"	"HepG2"	"ENCSR010BGO"
"QKI"	"ENCSR256PLH"	"K562"	"ENCSR436LAN"
"RAVER1"	"ENCSR576GOW"	"HepG2"	"ENCSR998CDN"
"RAVER1"	"ENCSR904BCZ"	"K562"	"ENCSR369IHW"
"RBM15"	"ENCSR599PXD"	"HepG2"	"ENCSR000OWF"
"RBM15"	"ENCSR385UPQ"	"K562"	"ENCSR676VUZ"
"RBM22"	"ENCSR330KHN"	"HepG2"	"ENCSR972BSZ"
"RBM22"	"ENCSR947OIM"	"K562"	"ENCSR071HSS"
"RBM25"	"ENCSR610AEI"	"HepG2"	"ENCSR934EHD"
"RBM27"	"ENCSR222SMI"	"HepG2"	"ENCSR603CKC"
"RBM3"	"ENCSR675KPR"	"K562"	"ENCSR651IVJ"
"RBM34"	"ENCSR318HAT"	"HepG2"	"ENCSR070SVE"
"RBM34"	"ENCSR560AYQ"	"K562"	"ENCSR930UCY"
"RBM39"	"ENCSR760EGM"	"HepG2"	"ENCSR730AEK"
"RBM39"	"ENCSR678WOA"	"K562"	"ENCSR785KDC"
"RBM47"	"ENCSR711ZJQ"	"HepG2"	"ENCSR974NRI"
"RCC2"	"ENCSR685JXU"	"HepG2"	"ENCSR754FNO"
